model,run_id,image_id,dimension,sample_idx,status,rating,prompt_hash,attempts,finish_reason,latency_ms,input_tokens,output_tokens,cost_usd,error,claimed_at,completed_at,raw_response,reasoning
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,0,done,6,fb8d20537f3691a7,1,stop,4523,511,40,8.754e-05,,2026-04-26 18:20:15.385686,2026-04-26 18:20:19.910350,"```json
{""rating"": 6, ""reasoning"": ""The graphic depiction of a monitor lizard eating raw carrion is visually stimulating and visceral, evoking a strong reaction.""}
```","The graphic depiction of a monitor lizard eating raw carrion is visually stimulating and visceral, evoking a strong reaction."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,1,done,6,d32c82ce380842e1,1,stop,8456,635,40,0.000147,,2026-04-26 18:20:41.497464,2026-04-26 18:20:49.955253,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard feeding on a raw carcass is visceral and stimulating, evoking a strong physiological response.""}
```","The image of a monitor lizard feeding on a raw carcass is visceral and stimulating, evoking a strong physiological response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,2,done,6,e61acef65fba57e2,1,stop,6095,635,38,9.491e-05,,2026-04-26 18:21:06.895941,2026-04-26 18:21:12.992854,"```json
{""rating"": 6, ""reasoning"": ""The image of a predator eating raw carcass is visceral and stimulating, evoking a high level of intensity.""}
```","The image of a predator eating raw carcass is visceral and stimulating, evoking a high level of intensity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,3,done,6,71480f7fd12a5af5,1,stop,4517,634,39,7.852e-05,,2026-04-26 18:21:36.075561,2026-04-26 18:21:40.593705,"```json
{""rating"": 6, ""reasoning"": ""The image of a large lizard eating a carcass is visceral and stimulating, evoking a high level of arousal.""}
```","The image of a large lizard eating a carcass is visceral and stimulating, evoking a high level of arousal."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,4,done,6,33f777759485ce83,1,stop,1807,635,39,0.0001045,,2026-04-26 18:22:04.059965,2026-04-26 18:22:05.868302,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard eating a raw carcass is visceral and stimulating, evoking a strong biological response.""}
```","The image of a monitor lizard eating a raw carcass is visceral and stimulating, evoking a strong biological response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,5,done,6,861dce7a0416baa3,1,stop,2904,514,39,8.756e-05,,2026-04-26 18:22:30.951874,2026-04-26 18:22:33.858726,"```json
{""rating"": 6, ""reasoning"": ""The depiction of a predator feeding on raw carrion is visceral and stimulating, evoking a strong physiological response.""}
```","The depiction of a predator feeding on raw carrion is visceral and stimulating, evoking a strong physiological response."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,6,done,6,6f82b312bb225c2a,1,stop,4649,515,39,8.77e-05,,2026-04-26 18:23:02.934072,2026-04-26 18:23:07.585889,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard eating raw meat is visceral and stimulating, evoking a high level of arousal.""}
```","The image of a monitor lizard eating raw meat is visceral and stimulating, evoking a high level of arousal."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,7,done,6,4206dbefd00057cf,1,stop,3215,513,40,8.782e-05,,2026-04-26 18:23:32.349405,2026-04-26 18:23:35.565763,"```json
{""rating"": 6, ""reasoning"": ""The sight of a monitor lizard feeding on raw flesh is visceral and stimulating, evoking a high level of intensity.""}
```","The sight of a monitor lizard feeding on raw flesh is visceral and stimulating, evoking a high level of intensity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,8,done,6,979f71f7284ba45d,1,stop,4570,633,39,7.839e-05,,2026-04-26 18:24:09.038562,2026-04-26 18:24:13.610622,"```json
{""rating"": 6, ""reasoning"": ""The image shows a large lizard scavenging a carcass, which evokes a high level of intensity and visceral stimulation.""}
```","The image shows a large lizard scavenging a carcass, which evokes a high level of intensity and visceral stimulation."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,9,done,6,13a932165b748a66,1,stop,4043,632,40,7.864e-05,,2026-04-26 18:24:45.407965,2026-04-26 18:24:49.452624,"```json
{""rating"": 6, ""reasoning"": ""The image of a large lizard feeding on a carcass is visceral and stimulating, evoking a high level of intensity.""}
```","The image of a large lizard feeding on a carcass is visceral and stimulating, evoking a high level of intensity."
gemma-4-31b-it,20260426-3bde__gemma-4-31b-it,Animal carcass 2,arousal,10,done,6,b7cb31cda918bb9c,1,stop,4338,634,39,7.852e-05,,2026-04-26 18:25:03.798253,2026-04-26 18:25:08.137192,"```json
{""rating"": 6, ""reasoning"": ""The image of a monitor lizard eating raw meat is visceral and stimulating, evoking a high level of intensity.""}
```","The image of a monitor lizard eating raw meat is visceral and stimulating, evoking a high level of intensity."
